structure_number,county,location,feature_carried,feature_crossed,owner,year_built,year_reconstructed,date_of_last_inspection_mmyy,bridge_condition,latitude,longitude
1019280,Suffolk,'1.6 MI E JCT RTS 27+112','HOSPITAL ROAD','27 27 07051250  RTE 27',State Highway Agency,1959,2005,0819,Fair,40.783916667300026,-72.9785472221266
1019292,Suffolk,'EXIT 55 OF SH 27','PATCHOGUE-YAPHANK','RTE 27',State Highway Agency,1959,2006,0718,Fair,40.78739722202613,-72.96408333275258
1019300,Suffolk,'EXIT 56 - S.H.27','STATION ROAD','27 27 07051266  RTE 27',State Highway Agency,1959,,0819,Fair,40.78851388927857,-72.94738333271889
1019319,Suffolk,'5.2 MI E JCT SH27 & SH112','HORSE BLOCK ROAD','27 27 07051287  RTE 27',State Highway Agency,1960,,0819,Fair,40.79675555596317,-72.9101055561999
1019321,Suffolk,'6.5 MI E JCT RTS 27 & 112','VICTORY AVENUE','CARMANS RIVER',State Highway Agency,1959,,1019,Fair,40.80268055589288,-72.8858222219811
1019322,Suffolk,'6.5 MI E JCT RTS 27+112','RTE 27','CARMANS RIVER',State Highway Agency,1959,,1019,Fair,40.802355555954485,-72.88534166732155
1019339,Suffolk,'7.2 MI E RTS 112+27','WILLIAM FLOYD PKY','27 27 07051309  RTE 27',State Highway Agency,1963,,1119,Fair,40.8040222217794,-72.87041388883316
1019340,Suffolk,'8.2 MI E RTS 112+27','WINTERS DRIVE','27 27 07051319  RTE 27',State Highway Agency,1963,,0919,Fair,40.81124444420806,-72.8539416674195
1019351,Suffolk,'1 MI W EXIT 59 OF S.H.27','RTE 27','BARNES ROAD',State Highway Agency,1963,,1019,Fair,40.8198722219151,-72.83721388878232
1019352,Suffolk,'1 MI W OF EXIT 59 OF SH27','RTE 27','BARNES ROAD',State Highway Agency,1963,,1019,Fair,40.81965833291206,-72.83707222176707
1019360,Suffolk,'.4 MI W EXIT 59 OF S.H.27','MORICHES M.I.ROAD','27 27 07051338  RTE 27',State Highway Agency,1963,,0919,Fair,40.82226666680372,-72.82021666676378
1019370,Suffolk,'IN BROOKHAVEN','WADING RIVER RD','RTE 27',State Highway Agency,1963,2003,0918,Good,40.82293888869373,-72.80895555614364
1019380,Suffolk,'SH 27-EXIT 60-BROOKHAVEN','RAILROAD AVE','RTE 27',State Highway Agency,1963,2003,0918,Good,40.823558333241216,-72.7924027783069
1019390,Suffolk,'1 MI E EXIT 60 OF SH 27','CHAPMAN BLVD','27  27 07051364  RTE 27',State Highway Agency,1963,2003,1018,Good,40.82625277832751,-72.77311944360333
1019401,Suffolk,'EXIT 61 OF S.H.27','RTE 27','E MOR RVR RD-CR51',State Highway Agency,1963,,0819,Fair,40.83436944423907,-72.74672777778572
1019402,Suffolk,'EXIT 61 OF S.H.27','RTE 27','E MOR RVR RD-CR51',State Highway Agency,1963,,0819,Fair,40.833855556146005,-72.74743888865622
1019411,Suffolk,'1 MI E EXIT 65 OF S.H.27','RTE 27','SQUIRETOWN RD',State Highway Agency,1963,2003,0518,Good,40.88537777770982,-72.52491388855535
1019412,Suffolk,'1 MI E EXIT 60 OF SH 27','RTE 27','SQUIRETOWN RD NB  SQUIRE',State Highway Agency,1963,,0519,Fair,40.88501666728223,-72.52506388924154
1019429,Suffolk,'1.8 MI E SH 24 & SH 27','RTE 27','NEWTOWN ROAD',State Highway Agency,1963,,0818,Good,40.88965555626632,-72.50417777771302
1019439,Suffolk,'2 MI E JCT SH 24 & SH 27','RTE 27','CANAL ROAD EAST  SHINNEC',State Highway Agency,1960,1999,1019,Fair,40.89003333290812,-72.50097777834671
1019449,Suffolk,'SH 27 - 3.3MI W OF TUCKAH','RTE 27','CR 39 - NORTH RD',State Highway Agency,1959,,0719,Fair,40.890391666990645,-72.49812777788642
1019450,Suffolk,'.2 MI E OF EXIT 66 - SH27','PECONIC ROAD','27  27 07051524  RTE 27',State Highway Agency,1963,,0719,Fair,40.891833333185964,-72.48363055562551
1019460,Suffolk,'RTE 27A-.6MI W RTE 231','RTE 27A','CARLLS RIVER',State Highway Agency,1937,,1118,Fair,40.69495000000063,-73.32865000037565
1019470,Suffolk,'RTE 27A AT ROUTE 231','RTE 27A','SUMPAWAMS CREEK',State Highway Agency,1967,,0719,Fair,40.69680555629816,-73.31728611080894
1019500,Suffolk,'.7 MI SW JCT RTS 27 & 27A','RTE 27A','LIRR MONTAUK BRCH',State Highway Agency,2000,,0818,Good,40.741677777902765,-73.16164722244777
1036240,Nassau,'AT EAST MEADOW-N OF SSP','RTE 102','EAST MEADOW BROOK',State Highway Agency,1935,,0818,Fair,40.7124194439621,-73.57934722240866
1036740,Nassau,'.4 MI S JCT RTS SSP+WSP','RTE 105','RTE 908T',State Highway Agency,1932,2000,0219,Good,40.69214999997575,-73.51826388873957
1036759,Nassau,'JCT RTS 105+135','RTE 135','RTE 105',State Highway Agency,1965,,0719,Good,40.69105000029647,-73.49478888915611
1036769,Nassau,'1.3 MI W JCT RTS SSP+WSP','RTE 106','RTE 908M',State Highway Agency,1930,,0218,Fair,40.693861111121635,-73.54362500007666
1036779,Nassau,'JCT RTS 106+WSP','RTE 106','908T908T03011100 SB  RTE',State Highway Agency,1938,,0619,Fair,40.72895277790768,-73.54081944376509
1036799,Nassau,'JCT NSP & SH 107','RTE 107','RTE 908G',State Highway Agency,1948,1960,0218,Fair,40.78309722232517,-73.53265000017957
1036809,Nassau,'JCT I495 & SH 106','RTE 107','RTE I495',State Highway Agency,1961,,0518,Fair,40.7853472216843,-73.5336138888862
1036849,Nassau,'.8 MI N JCT RTS 135+SSP','RTE 135','RTE 107',State Highway Agency,1965,,0719,Fair,40.71106666669082,-73.48289444380278
1036889,Nassau,'IN GLEN COVE','RTE 107','SEACLIFF AVENUE',State Highway Agency,1962,,0719,Fair,40.852236110678184,-73.62089444443637
1036900,Nassau,'IN GLEN COVE','HENDRICK AVENUE','107 107 03012006 S.B.  R',State Highway Agency,1962,,0719,Fair,40.86048333266307,-73.6241249999971
1036929,Suffolk,'JCT RTS 109+SSP','RTE 109','RTE 908M',State Highway Agency,1940,,1119,Fair,40.7180666667132,-73.4079166673099
1036939,Suffolk,'JCT RTS 109+110','RTE 110','RTE 109',State Highway Agency,1956,,0619,Fair,40.72271388880277,-73.42486111061051
1036949,Suffolk,'JCT SH 110 & SSP','RTE 110','RTE 908M',State Highway Agency,1939,1957,1018,Good,40.70691944403097,-73.42812777844568
1036959,Suffolk,'.1 MI S JCT RTS 109+110','RTE 110','LIRR-CENTRAL BRCH',State Highway Agency,1956,,0918,Good,40.72156111128681,-73.42545833306932
1036981,Suffolk,'JCT I495 & SH 110','RTE 110','RTE I495',State Highway Agency,1962,2011,0118,Fair,40.7810055560289,-73.41870833273562
1036982,Suffolk,'JCT I495 & SH 110','RTE 110','RTE I495',State Highway Agency,1962,2011,0118,Fair,40.78073611084305,-73.41858055636956
1037019,Suffolk,'JCT RTS 111+HSP','RTE 111','908M908M07021128  RTE 90',State Highway Agency,1960,,0619,Fair,40.75548611085651,-73.20921388900601
1037021,Suffolk,'1.6 MI W JCT RTS 454+495','RTE I495','111 111 07011056  RTE 11',State Highway Agency,1963,1994,0819,Fair,40.80906388907013,-73.21709722186847
1037022,Suffolk,'1.6 MI W JCT RTS 454+495','RTE I495','111 111 07011056  RTE 11',State Highway Agency,1963,1994,0819,Fair,40.80881944385397,-73.21686111137412
1037060,Suffolk,'RTE 114 AT SAG HARBOR','RTE 114','SAG HARBOR COVE',State Highway Agency,2000,,1019,Good,41.003516667232326,-72.299013889186
1037070,Suffolk,'SH 114 AT SHELTER ISLAND','RTE 114','CHASE CREEK',State Highway Agency,1994,,0918,Good,41.08353055591651,-72.35260555635489
1037089,Nassau,'.7 MI E JCT RTS SSP+WSP','WANTAGH  AVENUE','RTE 908M',State Highway Agency,1956,,0118,Fair,40.69969722168218,-73.50645277829852
1037819,Nassau,'JCT RTS 135+SSP','RTE 135','RTE 908M',State Highway Agency,1966,,0719,Fair,40.70102499968124,-73.49035555590527
1037839,Nassau,'.6 MI N JCT SH 135 & SSP','RTE 135','ARLINGTON DRIVE',State Highway Agency,1965,,0519,Fair,40.70799166674644,-73.48580833334441
1037859,Nassau,'1.3 MI N JCT SH 135 & SSP','RTE 135','BOUNDARY AVENUE',State Highway Agency,1965,,0419,Fair,40.71719166670296,-73.47705833284527
1037860,Nassau,'.7 MI N JCT SH 24 & SH135','CENTRAL AVENUE','135 135 03011063 NB  RTE',State Highway Agency,1962,,0519,Fair,40.73646944429283,-73.47418333316897
1037880,Nassau,'1.1 MI N JCT SH24 & SH135','POWELL AVENUE','135 135 03011067  RTE 13',State Highway Agency,1962,,0519,Fair,40.74320833331353,-73.47388888877502
1037899,Nassau,'1.9 MI S JCT RTE 135+SSP','RTE 135','BROADWAY',State Highway Agency,1962,,0519,Fair,40.75541666687787,-73.47482499977642
1037909,Nassau,'1.4 MI S JCT SH 135 & SSP','RTE 135','HAY PATH ROAD',State Highway Agency,1963,,0519,Fair,40.761919444107754,-73.47676666694053
1037910,Nassau,'.5 MI S JCT RTE 135+SSP','OLD COUNTRY ROAD','135 135 03011089  RTE 13',State Highway Agency,1962,,0519,Fair,40.77379444375627,-73.48127499963617
1037920,Nassau,'JCT SH 135 & SSP','SOUTHERN PARKWAY','135 135 03011095 SB  RTE',State Highway Agency,1962,,0619,Fair,40.78172777831128,-73.48290833265543
1037939,Nassau,'JCT RTE 135+NSP','RTE 135','908G908G03011145  RTE 90',State Highway Agency,1962,,0919,Fair,40.79497777787279,-73.48731111061015
1037949,Nassau,'.2 MI S JCT SH 135 & I495','RTE 135','WOODBURY ROAD',State Highway Agency,1962,1998,0619,Fair,40.79685555570978,-73.48794722203591
1037959,Nassau,'JCT RTE 495+RTE 135','RTE 135','495I495I03021133  RTE I4',State Highway Agency,1962,,0719,Fair,40.79935277827217,-73.48860277839425
1037969,Nassau,'.3 MI N RTE 495+RTE 135','RTE 135','CROSSWAYS PARK W',State Highway Agency,1959,,0419,Fair,40.80304722193943,-73.49002777772608
1042180,Suffolk,'JCT SH 231 & SSP','RTE 231','RTE 908M',State Highway Agency,1950,1968,0418,Fair,40.73210833291812,-73.32066944374832
1048999,Nassau,'RTE 495-.7 MI NE QNS CL','RTE I495','LAKEVILLE RD',State Highway Agency,1958,2006,1118,Fair,40.76937777817303,-73.70851388942748
1049009,Nassau,'I495 - .9 MI NE QNS CO LN','RTE I495','COMMUNITY DRIVE',State Highway Agency,1958,2001,1118,Good,40.76916666684343,-73.70382499985135
1049019,Nassau,'I495 - 1.6 MI NE QNS C.LI','NEW HYDE PARK RD','RTE I495',State Highway Agency,2000,,0118,Good,40.768547222102846,-73.69161388937725
1049029,Nassau,'I495 - 2.8 MI NE QNS CO L','SHELTER ROCK ROAD','RTE I495',State Highway Agency,2000,,0118,Fair,40.77425833299123,-73.67090555624013
1049039,Nassau,'I495 -3.4 MI NE QNS CO LN','RTE I495','SEARINGTOWN ROAD',State Highway Agency,1958,2000,0618,Fair,40.77955277822035,-73.6616222223636
1049049,Nassau,'I495 - 4.1 MI NE QNS CL','RTE I495','WILLIS AVENUE',State Highway Agency,2006,,0618,Good,40.78479999996218,-73.64890277772803
1049069,Nassau,'I495 -4.6 MI NE QNS CO LN','RTE I495','ROSLYN ROAD',State Highway Agency,2000,,0718,Fair,40.78472222179967,-73.63884722238892
1049079,Nassau,'I495 - 7.75KM NE QNS CLL','RTE I495','LOCUST LANE',State Highway Agency,2003,,0618,Good,40.7843638887728,-73.63435833282928
1049080,Nassau,'I495 - 5.2 MI NE QUEENS C','NSP WB TO 495I WB','RTE I495',State Highway Agency,2000,,0318,Good,40.78396388912479,-73.62649166730867
1049090,Nassau,'3.9 MI W JCT I495 & SH 25','GLEN COVE ROAD','RTE I495',State Highway Agency,2000,,0318,Good,40.78321666689298,-73.62300277783174
1049100,Nassau,'3.5 MI W I495 & SH 25','RED GROUND ROAD','RTE I495',State Highway Agency,2004,,0318,Good,40.7831444440524,-73.61495555632894
1049110,Nassau,'3.1 MI W JCT I495 & SH 25','WHEATLY RD','RTE I495',State Highway Agency,2000,,0318,Good,40.78018888922078,-73.60845000016046
1049120,Nassau,'4.7 KM W JCT I495 & SH 25','OLD WESTBURY ROAD','RTE 495',State Highway Agency,2004,,0318,Good,40.77976388920083,-73.60539722209279
1049139,Nassau,'2 MI W JCT I495 & SH 25','RTE I495','POST ROAD',State Highway Agency,1962,2006,0818,Fair,40.78348611085862,-73.58945833315828
1049150,Nassau,'1.2 MI W JCT I495 & SH 25','POWELLS LANE','RTE I495',State Highway Agency,2000,,0618,Fair,40.778977778279675,-73.57709722199797
1049179,Nassau,'.5 MI E RTE 495+RTE 106','RTE I495','LIEWB CONN TO NSP',State Highway Agency,1961,1998,0918,Fair,40.78794444411204,-73.52476111123714
1049181,Nassau,'1.1MI E JCT RT106&LIE WB','RTE I495','LIRR PT JEFF BRCH',State Highway Agency,1990,,0818,Good,40.79299722183143,-73.51594166737328
1049182,Nassau,'1.1 MI E JCT SH106 & LIE','RTE I495','LIRR PT JEFF BRCH',State Highway Agency,1961,1991,0818,Good,40.792716666980986,-73.51599722188544
1049183,Nassau,'1.1 MI E JCT SH106 & LIE','RTE 906A','LIRR PT JEFF BRCH',State Highway Agency,1961,1991,0818,Good,40.79250277817,-73.51604722211414
1049191,Nassau,'1.3 MI E ROUTES 495I& 106','RTE I495','ROBBINS LANE',State Highway Agency,1990,,1019,Fair,40.794930555719006,-73.51137499987979
1049192,Nassau,'1.3 M E RTS 106 & 495I EB','RTE I495','ROBBINS LANE',State Highway Agency,1961,1991,1019,Fair,40.79473333313939,-73.51123888894459
1049209,Nassau,'1.8 MI E JCT I495 & SH 10','S OYSTER BAY ROAD','RTE I495',State Highway Agency,1996,,1018,Fair,40.79759444421647,-73.50300000019772
1049219,Nassau,'.3 MI W OF RTE 135+RT 495','RTE I495','GATEWAY DRIVE',State Highway Agency,1962,1998,0818,Fair,40.79889722195596,-73.49519444437094
1049229,Nassau,'.2 MI E OF RTE 135+RT 495','RTE I495','WOODBURY ROAD',State Highway Agency,1963,1998,0618,Good,40.79936944368832,-73.48441666689948
1049239,Nassau,'.4 MI E JCT SH135 & I495','RTE I495','MANETTO HILL ROAD',State Highway Agency,1963,1998,0818,Good,40.798913888846506,-73.48222500038845
1049249,Nassau,'JCT NSP & RTE I495','RTE I495','908G908G03011152  RTE 90',State Highway Agency,1997,,0919,Fair,40.797747222241554,-73.4756444438769
1049250,Nassau,'.4 MI SE JCT NSP & I495','SUNNYSIDE BLVD','RTE I495',State Highway Agency,1996,,1018,Fair,40.79553888904084,-73.4681805559802
1049279,Nassau,'1.2 MI SE JCT NSP+RTE 495','RTE I495','WASHINGTON AVENUE',State Highway Agency,1963,,1019,Fair,40.789461111237365,-73.45556388939298
1049281,Suffolk,'1.8 MI SE JCT MSP+I495','RTE I495','ROUND SWAMP ROAD',State Highway Agency,1997,,0919,Fair,40.7854111107318,-73.44457499974497
1049282,Suffolk,'1.8 MI SE JCT NSP+I495','RTE I495','ROUND SWAMP ROAD',State Highway Agency,1997,,0919,Good,40.78516111118013,-73.4446861105658
1049290,Suffolk,'.3 MI W RTE 495+RTE 110','WALT WHITMAN RD','495I495I07031011 - Westb',State Highway Agency,1962,,0118,Fair,40.78113333289262,-73.4243194435622
1049309,Suffolk,'.5 MI E RTE 495+RTE 110','PINELAWN ROAD','RTE I495',State Highway Agency,1962,2014,0618,Fair,40.78197499990623,-73.40860555565686
1049310,Suffolk,'1.2 MI E JCT I495 & SH110','HALF HOLLOW ROAD','RTE I495',State Highway Agency,1963,,0218,Fair,40.78509444406603,-73.39543055557785
1049320,Suffolk,'1.7 MI W JCT RTS 231+495','BAGATELLE RD','RTE I495',State Highway Agency,1963,,0218,Fair,40.78872777801655,-73.37297500011148
1049330,Suffolk,'.6 MI W JCT RTS 231+495','HALF HOLLOW RD','RTE I495',State Highway Agency,1963,,0218,Fair,40.79364722198562,-73.35283055564787
1049341,Suffolk,'JCT I495 & SH 231','RTE I495','RTE 231',State Highway Agency,1963,1995,0818,Fair,40.79760555614866,-73.34218055633907
1049342,Suffolk,'JCT I495 & SH 231','RTE I495','231 231 07011072  RTE 23',State Highway Agency,1963,,0719,Fair,40.79731666706645,-73.34213611129209
1049350,Suffolk,'1.2 MI E JCT RTS 231+495','CARLLS STRGT PATH','495I495I07031069 WB  RTE',State Highway Agency,2015,,1119,Good,40.80331388929369,-73.32018611059964
1049361,Suffolk,'2.5 MI E JCT RTS 231+495','RTE I495','CR4-COMMACK ROAD',State Highway Agency,1963,1994,1019,Fair,40.804758333065465,-73.29463333291683
1049362,Suffolk,'2.5 MI E JCT RTS 231+495','RTE I495','CR4-COMMACK ROAD',State Highway Agency,1963,1992,1019,Fair,40.804483332990614,-73.29464444417863
1049371,Suffolk,'.4 MI W JCT SAGTIKOS &LIE','RTE 906B','CR13- CROOK HL RD',State Highway Agency,1993,,0419,Good,40.80521388927345,-73.28786944373053
1049372,Suffolk,'2.9 MI E JCT SH231 & I495','RTE I495','CR13- CROOK HL RD',State Highway Agency,1964,1994,0419,Fair,40.805019444319356,-73.28771111117014
1049373,Suffolk,'2.9 MI E JCT SH231 & I495','RTE I495','CR13- CROOK HL RD',State Highway Agency,1964,1994,0419,Fair,40.80475555606184,-73.28749999989188
1049374,Suffolk,'2.9 MI E JCT SH231 & I495','RTE 906A','CR13- CROOK HL RD',State Highway Agency,1991,,0419,Fair,40.80459722178767,-73.28736944413836
1049381,Suffolk,'3.2 MI E JCT RTS 231+495','RTE 908K','495I495I07031089  RTE I4',State Highway Agency,1964,1995,1119,Fair,40.80472222181034,-73.28105277762297
1049382,Suffolk,'3.2 MI E JCT RTS 231+495','RTE 908K','495I495I07031089  RTE I4',State Highway Agency,1964,1992,1119,Fair,40.804716667120076,-73.28073055642217
1049391,Suffolk,'3.8 MI E JCT RTS 231&495','RTE 906B','WICKS ROAD',State Highway Agency,1993,,0618,Good,40.805002778281924,-73.26920833339673
1049392,Suffolk,'3.8 MI E JCT RTS 231+495','RTE I495','WICKS ROAD',State Highway Agency,1964,1994,0618,Good,40.80484444391763,-73.26917499961148
1049393,Suffolk,'3.8 MI E JCT RTS 231+495','RTE I495','WICKS ROAD',State Highway Agency,1964,1994,0618,Good,40.80458055632419,-73.26911666661017
1049394,Suffolk,'3.8 MI E JCT RTS 231&495I','RTE 906A','WICKS ROAD',State Highway Agency,1991,,0618,Good,40.80443333310182,-73.26908611131411
1049400,Suffolk,'3.3 MI W JCT SH454 & I495','WASHINGTON AVENUE','RTE I495',State Highway Agency,1964,,0318,Fair,40.805405556001425,-73.24863888878569
1049410,Suffolk,'2.5 MI W JCT SH454 & I495','LNG IS MOTOR PKWY','495I495I07031114  RTE I4',State Highway Agency,2011,,1019,Good,40.80683055595186,-73.2344555558514
1049420,Suffolk,'.7 MI W JCT SH 454 & I495','LINCOLN BOULEVARD','RTE I495',State Highway Agency,1963,,0218,Fair,40.80899444397265,-73.1993833328994
1049430,Suffolk,'.4 MI W JCT RTS 454+495','MOTOR PARKWAY HP','495I495I07031135 WB  RTE',State Highway Agency,1963,2002,0218,Fair,40.809211110859046,-73.19363055595592
1049441,Suffolk,'JCT RTS 454 & I495','RTE I495','454 454 07011061  RTE 45',State Highway Agency,1998,,0619,Good,40.809136110915404,-73.18519999996512
1049442,Suffolk,'JCT RTS 454 & I495','RTE I495','454 454 07011061  RTE 45',State Highway Agency,1998,,0619,Good,40.80886944383781,-73.1853027780134
1049450,Suffolk,'2.1 KM E JCT RTS 454+495','OLD NICHOLS RD','RTE I495',State Highway Agency,2002,,1118,Fair,40.809080556127505,-73.16009444405493
1049461,Suffolk,'2 MI E JCT RTS 454 & I495','RTE I495','TERRY ROAD',State Highway Agency,1998,,0318,Good,40.81083333292511,-73.1472472221551
1049462,Suffolk,'2 MI E JCT RTS 454 & I495','RTE I495','TERRY ROAD',State Highway Agency,1998,,0318,Fair,40.810580555789315,-73.14710833273071
1049471,Suffolk,'3.1 MI E JCT RTS 454&I495','RTE I495','CR93-OCEAN AVENUE',State Highway Agency,1998,,0419,Good,40.81245833280611,-73.12505555578655
1049472,Suffolk,'3.1 MI E JCT RTS 454&I495','RTE I495','CR93-OCEAN AVENUE',State Highway Agency,1998,,0419,Good,40.812194444214256,-73.12501666681958
1049489,Suffolk,'6 MI W JCT I495 & SH 112','RONKONKOMA AVE','495I495I07031178  RTE I4',State Highway Agency,1967,2013,0619,Fair,40.8130638892875,-73.11191944377619
1049491,Suffolk,'6.5 MI W JCT RTS I495&112','RTE I495','POND ROAD',State Highway Agency,1998,,0419,Good,40.81276111071784,-73.11918888863468
1049492,Suffolk,'6.5 MI W JCT RTS I495&112','RTE I495','POND ROAD',State Highway Agency,1998,,0419,Good,40.81248888921128,-73.11924444404512
1049509,Suffolk,'5.8 MI W JCT I495 & SH112','HAWKINS AVENUE','495I495I07031180  RTE I4',State Highway Agency,1967,,0619,Fair,40.813672222311645,-73.10803333275541
1049519,Suffolk,'AT EXIT 61 0F I495','PATCHOGUE-HOLBROO','495I495I07031192  RTE I4',State Highway Agency,1967,2017,0919,Fair,40.81558055587356,-73.08438611086059
1050480,Nassau,'.7 MI NE JCT NSP+RTE 107','495I EB TO NSP EB','RTE 908G',State Highway Agency,1961,,0218,Fair,40.78847222197816,-73.5207888886115
1050490,Nassau,'RTE 495-5.2 MI NE QNS CL','NSP WB TO 495I WB','RTE 906A',State Highway Agency,1959,2013,0419,Fair,40.782980556137275,-73.6261250001625
1050500,Nassau,'I495 - 5.2 MI NE QNS C L','495I EB TO NSP EB','RTE 906A',State Highway Agency,1959,,0419,Fair,40.78316944385679,-73.62670277768865
1053249,Nassau,'.7 MI S JCT RTS 105+135','RTE 135','DEMOTT AVE',State Highway Agency,1970,,0818,Good,40.68047222167355,-73.49522777815613
1053259,Nassau,'JCT RTS 27+135','RTE 27','RTE 135',State Highway Agency,1970,,0918,Fair,40.67416666681416,-73.4932250003999
1053260,Suffolk,'1 MI E OF EXIT 70 - I495','HALSEY MANOR ROAD','RTE I495',State Highway Agency,1969,,0918,Fair,40.87751388879065,-72.781016667115
1053271,Suffolk,'RTE 495+RTE 24','RTE I495','EDWARDS AVE-CR 94',State Highway Agency,1969,,1119,Fair,40.903769444049445,-72.74096666717135
1053272,Suffolk,'RTE 495+RTE 24','RTE I495','EDWARDS AVE - CR 94',State Highway Agency,1969,,1119,Fair,40.903558333199,-72.74072499969867
1056011,Suffolk,'.5 MI N JCT RTS 231+27A','RTE 231','JOHN STREET  SAMPAWAMS C',State Highway Agency,1968,2003,0818,Fair,40.703888888995166,-73.31408055626085
1056012,Suffolk,'.5 MI N JCT SH231 & SH27A','RTE 231','JOHN ST  Sampawams Ck  L',State Highway Agency,1968,2003,0818,Fair,40.70403888878842,-73.31375555567251
1056049,Suffolk,'1.1 MI SE JCT RTS 454+495','RTE 454','LIRR-MAIN LINE',State Highway Agency,1950,,0718,Fair,40.796688888928344,-73.17153611065731
1056069,Nassau,'.6 MI S JCT SH 27 & SH135','RTE 135','MERRICK RD',State Highway Agency,1969,,0818,Good,40.665330555952686,-73.49358888905685
